iso3,country,region,year,buffer_km,pop_near,num_plants,pop_total,pct_near
ARG,ARGENTINA,America - Latin,1990,30,200080.0,2,21520100.0,0.9297354566196254
ARG,ARGENTINA,America - Latin,1990,75,1871580.0,2,21520100.0,8.696892672431819
ARG,ARGENTINA,America - Latin,1990,300,21520100.0,2,21520100.0,100.0
ARG,ARGENTINA,America - Latin,2000,30,221351.4,2,23717910.0,0.9332668856572943
ARG,ARGENTINA,America - Latin,2000,75,2054287.0,2,23717910.0,8.661332301201918
ARG,ARGENTINA,America - Latin,2000,300,23717910.0,2,23717910.0,100.0
ARG,ARGENTINA,America - Latin,2010,30,242755.0,2,25922870.0,0.9364510951140828
ARG,ARGENTINA,America - Latin,2010,75,2259315.0,2,25922870.0,8.715528026024897
ARG,ARGENTINA,America - Latin,2010,300,25922870.0,2,25922870.0,100.0
ARM,ARMENIA,Europe - Central and Eastern,1990,30,991817.0,1,17762900.0,5.5836434366010055
ARM,ARMENIA,Europe - Central and Eastern,1990,75,2901690.0,1,17762900.0,16.335677169831502
ARM,ARMENIA,Europe - Central and Eastern,1990,300,17762900.0,1,17762900.0,100.0
ARM,ARMENIA,Europe - Central and Eastern,2000,30,838522.0,1,17739000.0,4.726997012232933
ARM,ARMENIA,Europe - Central and Eastern,2000,75,2506560.0,1,17739000.0,14.130221545746661
ARM,ARMENIA,Europe - Central and Eastern,2000,300,17739000.0,1,17739000.0,100.0
ARM,ARMENIA,Europe - Central and Eastern,2010,30,833815.0,1,18447000.0,4.5200574619179275
ARM,ARMENIA,Europe - Central and Eastern,2010,75,2533920.0,1,18447000.0,13.736217271100992
ARM,ARMENIA,Europe - Central and Eastern,2010,300,18447000.0,1,18447000.0,100.0
BEL,BELGIUM,Europe - Western,1990,30,3028190.0,3,199282800.0,1.5195440850891295
BEL,BELGIUM,Europe - Western,1990,75,22639180.0,3,199282800.0,11.3603281366982
BEL,BELGIUM,Europe - Western,1990,300,199282800.0,3,199282800.0,100.0
BEL,BELGIUM,Europe - Western,2000,30,3140555.0,3,207609800.0,1.5127200161071395
BEL,BELGIUM,Europe - Western,2000,75,23401060.0,3,207609800.0,11.271654806276004
BEL,BELGIUM,Europe - Western,2000,300,207609800.0,3,207609800.0,100.0
BEL,BELGIUM,Europe - Western,2010,30,3297397.0,3,214145300.0,1.539794242507307
BEL,BELGIUM,Europe - Western,2010,75,24486980.0,3,214145300.0,11.434750143944322
BEL,BELGIUM,Europe - Western,2010,300,214145300.0,3,214145300.0,100.0
BGR,BULGARIA,Europe - Central and Eastern,1990,30,398011.0,2,52043600.0,0.7647645435750026
BGR,BULGARIA,Europe - Central and Eastern,1990,75,3179970.0,2,52043600.0,6.110203752238508
BGR,BULGARIA,Europe - Central and Eastern,1990,300,52043600.0,2,52043600.0,100.0
BGR,BULGARIA,Europe - Central and Eastern,2000,30,361375.0,2,49486100.0,0.7302555667146936
BGR,BULGARIA,Europe - Central and Eastern,2000,75,2936080.0,2,49486100.0,5.933140821361958
BGR,BULGARIA,Europe - Central and Eastern,2000,300,49486100.0,2,49486100.0,100.0
BGR,BULGARIA,Europe - Central and Eastern,2010,30,340400.0,2,47356100.0,0.7188091924799551
BGR,BULGARIA,Europe - Central and Eastern,2010,75,2776540.0,2,47356100.0,5.863109504372193
BGR,BULGARIA,Europe - Central and Eastern,2010,300,47356100.0,2,47356100.0,100.0
BRA,BRAZIL,America - Latin,1990,30,129499.0,1,39546400.0,0.3274609066817713
BRA,BRAZIL,America - Latin,1990,75,1185920.0,1,39546400.0,2.998806465316691
BRA,BRAZIL,America - Latin,1990,300,39546400.0,1,39546400.0,100.0
BRA,BRAZIL,America - Latin,2000,30,136945.0,1,44701700.0,0.3063530022348143
BRA,BRAZIL,America - Latin,2000,75,1269060.0,1,44701700.0,2.8389524335763516
BRA,BRAZIL,America - Latin,2000,300,44701700.0,1,44701700.0,100.0
BRA,BRAZIL,America - Latin,2010,30,153022.0,1,50210600.0,0.3047603494082923
BRA,BRAZIL,America - Latin,2010,75,1420200.0,1,50210600.0,2.828486415219097
BRA,BRAZIL,America - Latin,2010,300,50210600.0,1,50210600.0,100.0
CAN,CANADA,America - Northern,1990,30,2378128.6799999997,7,76194790.0,3.1211171787467356
CAN,CANADA,America - Northern,1990,75,9092519.1,7,76194790.0,11.933255672730379
CAN,CANADA,America - Northern,1990,300,76194790.0,7,76194790.0,100.0
CAN,CANADA,America - Northern,2000,30,2706184.55,7,83145110.0,3.2547729505679883
CAN,CANADA,America - Northern,2000,75,10496275.2,7,83145110.0,12.624043915511084
CAN,CANADA,America - Northern,2000,300,83145110.0,7,83145110.0,100.0
CAN,CANADA,America - Northern,2010,30,2992590.12,7,91743180.0,3.261921071408251
CAN,CANADA,America - Northern,2010,75,11606740.3,7,91743180.0,12.651338551813879
CAN,CANADA,America - Northern,2010,300,91743180.0,7,91743180.0,100.0
CHE,SWITZERLAND,Europe - Western,1990,30,3938373.0,5,240087300.0,1.6403920573891246
CHE,SWITZERLAND,Europe - Western,1990,75,20992790.0,5,240087300.0,8.743815270528678
CHE,SWITZERLAND,Europe - Western,1990,300,240087300.0,5,240087300.0,100.0
CHE,SWITZERLAND,Europe - Western,2000,30,4201555.0,5,250860600.0,1.674856474073649
CHE,SWITZERLAND,Europe - Western,2000,75,22377160.0,5,250860600.0,8.920157250680258
CHE,SWITZERLAND,Europe - Western,2000,300,250860600.0,5,250860600.0,100.0
CHE,SWITZERLAND,Europe - Western,2010,30,4439262.0,5,259756400.0,1.7090096721389731
CHE,SWITZERLAND,Europe - Western,2010,75,23529900.0,5,259756400.0,9.058448608003498
CHE,SWITZERLAND,Europe - Western,2010,300,259756400.0,5,259756400.0,100.0
CHN,CHINA,Asia - Far East,1990,30,12010136.0,14,856857600.0,1.4016490021212393
CHN,CHINA,Asia - Far East,1990,75,96548727.0,14,856857600.0,11.267768063211436
CHN,CHINA,Asia - Far East,1990,300,856857600.0,14,856857600.0,100.0
CHN,CHINA,Asia - Far East,2000,30,14188260.0,14,1008050200.0,1.4074953806863983
CHN,CHINA,Asia - Far East,2000,75,115508690.0,14,1008050200.0,11.458624778805659
CHN,CHINA,Asia - Far East,2000,300,1008050200.0,14,1008050200.0,100.0
CHN,CHINA,Asia - Far East,2010,30,15297008.0,14,1080562100.0,1.4156528347607231
CHN,CHINA,Asia - Far East,2010,75,123989410.0,14,1080562100.0,11.474528858637555
CHN,CHINA,Asia - Far East,2010,300,1080562100.0,14,1080562100.0,100.0
CZE,CZECH REPUBLIC,Europe - Central and Eastern,1990,30,514222.0,2,79283500.0,0.6485864019625773
CZE,CZECH REPUBLIC,Europe - Central and Eastern,1990,75,2560877.0,2,79283500.0,3.2300251628649086
CZE,CZECH REPUBLIC,Europe - Central and Eastern,1990,300,79283500.0,2,79283500.0,100.0
CZE,CZECH REPUBLIC,Europe - Central and Eastern,2000,30,551905.0,2,80309900.0,0.6872191348762731
CZE,CZECH REPUBLIC,Europe - Central and Eastern,2000,75,2777350.0,2,80309900.0,3.4582909454500625
CZE,CZECH REPUBLIC,Europe - Central and Eastern,2000,300,80309900.0,2,80309900.0,100.0
CZE,CZECH REPUBLIC,Europe - Central and Eastern,2010,30,567842.0,2,81174500.0,0.6995324886509926
CZE,CZECH REPUBLIC,Europe - Central and Eastern,2010,75,2852390.0,2,81174500.0,3.513899069289001
CZE,CZECH REPUBLIC,Europe - Central and Eastern,2010,300,81174500.0,2,81174500.0,100.0
DEU,GERMANY,Europe - Western,1990,30,21326003.0,26,1415912800.0,1.5061664108128692
DEU,GERMANY,Europe - Western,1990,75,122334953.0,26,1415912800.0,8.64000615009625
DEU,GERMANY,Europe - Western,1990,300,1415912800.0,26,1415912800.0,100.0
DEU,GERMANY,Europe - Western,2000,30,22512682.0,26,1474511800.0,1.526788866660816
DEU,GERMANY,Europe - Western,2000,75,129024245.0,26,1474511800.0,8.750302642542433
DEU,GERMANY,Europe - Western,2000,300,1474511800.0,26,1474511800.0,100.0
DEU,GERMANY,Europe - Western,2010,30,22479319.0,26,1490692700.0,1.5079780695243226
DEU,GERMANY,Europe - Western,2010,75,129082927.0,26,1490692700.0,8.659258008038814
DEU,GERMANY,Europe - Western,2010,300,1490692700.0,26,1490692700.0,100.0
ESP,SPAIN,Europe - Western,1990,30,387794.5,7,105484900.0,0.36763034330032074
ESP,SPAIN,Europe - Western,1990,75,9718460.0,7,105484900.0,9.213129082930353
ESP,SPAIN,Europe - Western,1990,300,105484900.0,7,105484900.0,100.0
ESP,SPAIN,Europe - Western,2000,30,398032.7,7,109686100.0,0.36288344648957344
ESP,SPAIN,Europe - Western,2000,75,10119194.0,7,109686100.0,9.225593762564262
ESP,SPAIN,Europe - Western,2000,300,109686100.0,7,109686100.0,100.0
ESP,SPAIN,Europe - Western,2010,30,448348.1,7,122865500.0,0.3649096776556478
ESP,SPAIN,Europe - Western,2010,75,11400335.0,7,122865500.0,9.278711273709868
ESP,SPAIN,Europe - Western,2010,300,122865500.0,7,122865500.0,100.0
FIN,FINLAND,Europe - Western,1990,30,98475.5,2,16978640.0,0.5799963954710153
FIN,FINLAND,Europe - Western,1990,75,958218.0,2,16978640.0,5.643667572903366
FIN,FINLAND,Europe - Western,1990,300,16978640.0,2,16978640.0,100.0
FIN,FINLAND,Europe - Western,2000,30,100989.1,2,16600550.0,0.6083479161834999
FIN,FINLAND,Europe - Western,2000,75,982725.0,2,16600550.0,5.9198339814042304
FIN,FINLAND,Europe - Western,2000,300,16600550.0,2,16600550.0,100.0
FIN,FINLAND,Europe - Western,2010,30,104583.20000000001,2,16709070.0,0.6259067680008523
FIN,FINLAND,Europe - Western,2010,75,1016578.0,2,16709070.0,6.083989114893887
FIN,FINLAND,Europe - Western,2010,300,16709070.0,2,16709070.0,100.0
FRA,FRANCE,Europe - Western,1990,30,6605021.3,23,797587540.0,0.8281249353519239
FRA,FRANCE,Europe - Western,1990,75,40997718.0,23,797587540.0,5.140215455221379
FRA,FRANCE,Europe - Western,1990,300,797587540.0,23,797587540.0,100.0
FRA,FRANCE,Europe - Western,2000,30,6924978.6,23,824937820.0,0.8394546148944897
FRA,FRANCE,Europe - Western,2000,75,42797988.0,23,824937820.0,5.188025929033051
FRA,FRANCE,Europe - Western,2000,300,824937820.0,23,824937820.0,100.0
FRA,FRANCE,Europe - Western,2010,30,7329698.4,23,867036230.0,0.8453739470610128
FRA,FRANCE,Europe - Western,2010,75,45220932.0,23,867036230.0,5.21557582432282
FRA,FRANCE,Europe - Western,2010,300,867036230.0,23,867036230.0,100.0
GBR,UNITED KINGDOM,Europe - Western,1990,30,7398533.7,18,679100690.0,1.089460489283261
GBR,UNITED KINGDOM,Europe - Western,1990,75,45386582.8,18,679100690.0,6.683336281104353
GBR,UNITED KINGDOM,Europe - Western,1990,300,679100690.0,18,679100690.0,100.0
GBR,UNITED KINGDOM,Europe - Western,2000,30,7567117.5,18,702073450.0,1.0778241934657977
GBR,UNITED KINGDOM,Europe - Western,2000,75,46496901.9,18,702073450.0,6.622797358310587
GBR,UNITED KINGDOM,Europe - Western,2000,300,702073450.0,18,702073450.0,100.0
GBR,UNITED KINGDOM,Europe - Western,2010,30,7947416.8,18,740258910.0,1.0735996139512862
GBR,UNITED KINGDOM,Europe - Western,2010,75,48844863.4,18,740258910.0,6.598348596709225
GBR,UNITED KINGDOM,Europe - Western,2010,300,740258910.0,18,740258910.0,100.0
HUN,HUNGARY,Europe - Central and Eastern,1990,30,200052.0,1,30316300.0,0.6598826373930855
HUN,HUNGARY,Europe - Central and Eastern,1990,75,1360240.0,1,30316300.0,4.486827218361079
HUN,HUNGARY,Europe - Central and Eastern,1990,300,30316300.0,1,30316300.0,100.0
HUN,HUNGARY,Europe - Central and Eastern,2000,30,189691.0,1,30176300.0,0.6286092065627661
HUN,HUNGARY,Europe - Central and Eastern,2000,75,1334830.0,1,30176300.0,4.423438261151964
HUN,HUNGARY,Europe - Central and Eastern,2000,300,30176300.0,1,30176300.0,100.0
HUN,HUNGARY,Europe - Central and Eastern,2010,30,184215.0,1,29964700.0,0.6147733833477392
HUN,HUNGARY,Europe - Central and Eastern,2010,75,1299030.0,1,29964700.0,4.335201086611913
HUN,HUNGARY,Europe - Central and Eastern,2010,300,29964700.0,1,29964700.0,100.0
IND,INDIA,Asia - Middle East and South,1990,30,4223515.0,7,421943400.0,1.000967191334193
IND,INDIA,Asia - Middle East and South,1990,75,40272550.0,7,421943400.0,9.54453843809383
IND,INDIA,Asia - Middle East and South,1990,300,421943400.0,7,421943400.0,100.0
IND,INDIA,Asia - Middle East and South,2000,30,5115591.0,7,524704200.0,0.9749475990472345
IND,INDIA,Asia - Middle East and South,2000,75,49517580.0,7,524704200.0,9.437237209078944
IND,INDIA,Asia - Middle East and South,2000,300,524704200.0,7,524704200.0,100.0
IND,INDIA,Asia - Middle East and South,2010,30,5954225.0,7,610438300.0,0.9754016089750593
IND,INDIA,Asia - Middle East and South,2010,75,57658940.0,7,610438300.0,9.445498423018346
IND,INDIA,Asia - Middle East and South,2010,300,610438300.0,7,610438300.0,100.0
IRN,"IRAN, ISLAMIC REPUBLIC OF",Asia - Middle East and South,1990,30,156625.0,1,8157970.0,1.9199016421977526
IRN,"IRAN, ISLAMIC REPUBLIC OF",Asia - Middle East and South,1990,75,376669.0,1,8157970.0,4.617190305921694
IRN,"IRAN, ISLAMIC REPUBLIC OF",Asia - Middle East and South,1990,300,8157970.0,1,8157970.0,100.0
IRN,"IRAN, ISLAMIC REPUBLIC OF",Asia - Middle East and South,2000,30,186951.0,1,9888910.0,1.8905116944132365
IRN,"IRAN, ISLAMIC REPUBLIC OF",Asia - Middle East and South,2000,75,451661.0,1,9888910.0,4.567348676446645
IRN,"IRAN, ISLAMIC REPUBLIC OF",Asia - Middle East and South,2000,300,9888910.0,1,9888910.0,100.0
IRN,"IRAN, ISLAMIC REPUBLIC OF",Asia - Middle East and South,2010,30,210345.0,1,11819200.0,1.7796889806416676
IRN,"IRAN, ISLAMIC REPUBLIC OF",Asia - Middle East and South,2010,75,506779.0,1,11819200.0,4.287760592933532
IRN,"IRAN, ISLAMIC REPUBLIC OF",Asia - Middle East and South,2010,300,11819200.0,1,11819200.0,100.0
ITA,ITALY,Europe - Western,1990,30,1285270.0,3,74327100.0,1.7292077855856074
ITA,ITALY,Europe - Western,1990,75,14277510.0,3,74327100.0,19.209023357564064
ITA,ITALY,Europe - Western,1990,300,74327100.0,3,74327100.0,100.0
ITA,ITALY,Europe - Western,2000,30,1286234.0,3,75063500.0,1.7135278797284963
ITA,ITALY,Europe - Western,2000,75,14344410.0,3,75063500.0,19.10970045361594
ITA,ITALY,Europe - Western,2000,300,75063500.0,3,75063500.0,100.0
ITA,ITALY,Europe - Western,2010,30,1352313.0,3,78955200.0,1.7127598942184936
ITA,ITALY,Europe - Western,2010,75,15084810.0,3,78955200.0,19.10553073135145
ITA,ITALY,Europe - Western,2010,300,78955200.0,3,78955200.0,100.0
JPN,JAPAN,Asia - Far East,1990,30,6094216.9,21,849817600.0,0.7171205797573503
JPN,JAPAN,Asia - Far East,1990,75,50902017.0,21,849817600.0,5.989757919817147
JPN,JAPAN,Asia - Far East,1990,300,849817600.0,21,849817600.0,100.0
JPN,JAPAN,Asia - Far East,2000,30,6255664.5,21,873407330.0,0.7162367758008168
JPN,JAPAN,Asia - Far East,2000,75,52174921.0,21,873407330.0,5.973721447929685
JPN,JAPAN,Asia - Far East,2000,300,873407330.0,21,873407330.0,100.0
JPN,JAPAN,Asia - Far East,2010,30,6268178.9,21,875949070.0,0.7155871402432108
JPN,JAPAN,Asia - Far East,2010,75,52296023.0,21,875949070.0,5.970212743076489
JPN,JAPAN,Asia - Far East,2010,300,875949070.0,21,875949070.0,100.0
KOR,"KOREA, REPUBLIC OF",Asia - Far East,1990,30,6332933.4,5,204113300.0,3.102655926879826
KOR,"KOREA, REPUBLIC OF",Asia - Far East,1990,75,21906551.0,5,204113300.0,10.73254462105115
KOR,"KOREA, REPUBLIC OF",Asia - Far East,1990,300,204113300.0,5,204113300.0,100.0
KOR,"KOREA, REPUBLIC OF",Asia - Far East,2000,30,6040987.3,5,213557400.0,2.828741734072432
KOR,"KOREA, REPUBLIC OF",Asia - Far East,2000,75,20960346.0,5,213557400.0,9.81485352415791
KOR,"KOREA, REPUBLIC OF",Asia - Far East,2000,300,213557400.0,5,213557400.0,100.0
KOR,"KOREA, REPUBLIC OF",Asia - Far East,2010,30,6315818.0,5,221939200.0,2.845742437568487
KOR,"KOREA, REPUBLIC OF",Asia - Far East,2010,75,21904926.0,5,221939200.0,9.86978686054559
KOR,"KOREA, REPUBLIC OF",Asia - Far East,2010,300,221939200.0,5,221939200.0,100.0
MEX,MEXICO,America - Latin,1990,30,93140.3,1,28939500.0,0.32184488329100364
MEX,MEXICO,America - Latin,1990,75,1719250.0,1,28939500.0,5.9408421016258055
MEX,MEXICO,America - Latin,1990,300,28939500.0,1,28939500.0,100.0
MEX,MEXICO,America - Latin,2000,30,98038.8,1,33739500.0,0.2905757346730094
MEX,MEXICO,America - Latin,2000,75,1814370.0,1,33739500.0,5.377584137287156
MEX,MEXICO,America - Latin,2000,300,33739500.0,1,33739500.0,100.0
MEX,MEXICO,America - Latin,2010,30,109263.0,1,37503500.0,0.2913408081912355
MEX,MEXICO,America - Latin,2010,75,2021010.0,1,37503500.0,5.388857040009599
MEX,MEXICO,America - Latin,2010,300,37503500.0,1,37503500.0,100.0
NLD,NETHERLANDS,Europe - Western,1990,30,424138.0,1,69169200.0,0.6131891072905281
NLD,NETHERLANDS,Europe - Western,1990,75,5297620.0,1,69169200.0,7.658929118740711
NLD,NETHERLANDS,Europe - Western,1990,300,69169200.0,1,69169200.0,100.0
NLD,NETHERLANDS,Europe - Western,2000,30,439182.0,1,71577800.0,0.6135729234483318
NLD,NETHERLANDS,Europe - Western,2000,75,5467160.0,1,71577800.0,7.638066551360896
NLD,NETHERLANDS,Europe - Western,2000,300,71577800.0,1,71577800.0,100.0
NLD,NETHERLANDS,Europe - Western,2010,30,459171.0,1,74399800.0,0.617166981631671
NLD,NETHERLANDS,Europe - Western,2010,75,5734860.0,1,74399800.0,7.70816588216635
NLD,NETHERLANDS,Europe - Western,2010,300,74399800.0,1,74399800.0,100.0
PAK,PAKISTAN,Asia - Middle East and South,1990,30,4762273.0,2,89535800.0,5.318847879842476
PAK,PAKISTAN,Asia - Middle East and South,1990,75,10981480.0,2,89535800.0,12.26490409422823
PAK,PAKISTAN,Asia - Middle East and South,1990,300,89535800.0,2,89535800.0,100.0
PAK,PAKISTAN,Asia - Middle East and South,2000,30,6264231.0,2,114434200.0,5.474089913679651
PAK,PAKISTAN,Asia - Middle East and South,2000,75,14502360.0,2,114434200.0,12.673099475506447
PAK,PAKISTAN,Asia - Middle East and South,2000,300,114434200.0,2,114434200.0,100.0
PAK,PAKISTAN,Asia - Middle East and South,2010,30,7851560.0,2,143150300.0,5.484836566881103
PAK,PAKISTAN,Asia - Middle East and South,2010,75,18147880.0,2,143150300.0,12.677500501221445
PAK,PAKISTAN,Asia - Middle East and South,2010,300,143150300.0,2,143150300.0,100.0
ROU,ROMANIA,Europe - Central and Eastern,1990,30,144504.0,1,17659600.0,0.8182744796031619
ROU,ROMANIA,Europe - Central and Eastern,1990,75,1217390.0,1,17659600.0,6.893644250152891
ROU,ROMANIA,Europe - Central and Eastern,1990,300,17659600.0,1,17659600.0,100.0
ROU,ROMANIA,Europe - Central and Eastern,2000,30,141577.0,1,16522800.0,0.8568584017236788
ROU,ROMANIA,Europe - Central and Eastern,2000,75,1185700.0,1,16522800.0,7.1761444791439715
ROU,ROMANIA,Europe - Central and Eastern,2000,300,16522800.0,1,16522800.0,100.0
ROU,ROMANIA,Europe - Central and Eastern,2010,30,135785.0,1,15645700.0,0.8678742402065743
ROU,ROMANIA,Europe - Central and Eastern,2010,75,1134140.0,1,15645700.0,7.248892666994765
ROU,ROMANIA,Europe - Central and Eastern,2010,300,15645700.0,1,15645700.0,100.0
RUS,RUSSIAN FEDERATION,Europe - Central and Eastern,1990,30,5560922.583000001,14,161991193.9,3.4328548664397496
RUS,RUSSIAN FEDERATION,Europe - Central and Eastern,1990,75,24346988.34,14,161991193.9,15.02982214886929
RUS,RUSSIAN FEDERATION,Europe - Central and Eastern,1990,300,161991193.9,14,161991193.9,100.0
RUS,RUSSIAN FEDERATION,Europe - Central and Eastern,2000,30,5112309.257999999,14,153695606.6,3.3262559490753842
RUS,RUSSIAN FEDERATION,Europe - Central and Eastern,2000,75,22558993.939999998,14,153695606.6,14.67770903739027
RUS,RUSSIAN FEDERATION,Europe - Central and Eastern,2000,300,153695606.6,14,153695606.6,100.0
RUS,RUSSIAN FEDERATION,Europe - Central and Eastern,2010,30,4889691.335,14,147191026.7,3.3220036877424675
RUS,RUSSIAN FEDERATION,Europe - Central and Eastern,2010,75,21607320.34,14,147191026.7,14.679780978795225
RUS,RUSSIAN FEDERATION,Europe - Central and Eastern,2010,300,147191026.7,14,147191026.7,100.0
SVK,SLOVAK REPUBLIC,Europe - Central and Eastern,1990,30,651069.0,2,74925800.0,0.8689516828649144
SVK,SLOVAK REPUBLIC,Europe - Central and Eastern,1990,75,4428190.0,2,74925800.0,5.910100392655133
SVK,SLOVAK REPUBLIC,Europe - Central and Eastern,1990,300,74925800.0,2,74925800.0,100.0
SVK,SLOVAK REPUBLIC,Europe - Central and Eastern,2000,30,670569.0,2,76166600.0,0.8803977071314723
SVK,SLOVAK REPUBLIC,Europe - Central and Eastern,2000,75,4571160.0,2,76166600.0,6.001528228908734
SVK,SLOVAK REPUBLIC,Europe - Central and Eastern,2000,300,76166600.0,2,76166600.0,100.0
SVK,SLOVAK REPUBLIC,Europe - Central and Eastern,2010,30,680406.0,2,76323600.0,0.8914752448783863
SVK,SLOVAK REPUBLIC,Europe - Central and Eastern,2010,75,4618700.0,2,76323600.0,6.051470318486025
SVK,SLOVAK REPUBLIC,Europe - Central and Eastern,2010,300,76323600.0,2,76323600.0,100.0
SVN,SLOVENIA,Europe - Central and Eastern,1990,30,288370.0,1,23599400.0,1.2219378458774375
SVN,SLOVENIA,Europe - Central and Eastern,1990,75,2455150.0,1,23599400.0,10.403442460401536
SVN,SLOVENIA,Europe - Central and Eastern,1990,300,23599400.0,1,23599400.0,100.0
SVN,SLOVENIA,Europe - Central and Eastern,2000,30,291195.0,1,23516200.0,1.2382740408739508
SVN,SLOVENIA,Europe - Central and Eastern,2000,75,2490680.0,1,23516200.0,10.591337035745571
SVN,SLOVENIA,Europe - Central and Eastern,2000,300,23516200.0,1,23516200.0,100.0
SVN,SLOVENIA,Europe - Central and Eastern,2010,30,288540.0,1,24001700.0,1.2021648466566952
SVN,SLOVENIA,Europe - Central and Eastern,2010,75,2468320.0,1,24001700.0,10.283938221042677
SVN,SLOVENIA,Europe - Central and Eastern,2010,300,24001700.0,1,24001700.0,100.0
SWE,SWEDEN,Europe - Western,1990,30,2741693.3,5,41410710.0,6.620734829226545
SWE,SWEDEN,Europe - Western,1990,75,5867430.0,5,41410710.0,14.168870806610173
SWE,SWEDEN,Europe - Western,1990,300,41410710.0,5,41410710.0,100.0
SWE,SWEDEN,Europe - Western,2000,30,2941528.4,5,42866530.0,6.862063246080333
SWE,SWEDEN,Europe - Western,2000,75,6239479.0,5,42866530.0,14.555596172584998
SWE,SWEDEN,Europe - Western,2000,300,42866530.0,5,42866530.0,100.0
SWE,SWEDEN,Europe - Western,2010,30,3066691.8,5,44419820.0,6.903881645625759
SWE,SWEDEN,Europe - Western,2010,75,6509325.0,5,44419820.0,14.654100354301299
SWE,SWEDEN,Europe - Western,2010,300,44419820.0,5,44419820.0,100.0
UKR,UKRAINE,Europe - Central and Eastern,1990,30,781406.3,5,100945800.0,0.7740850040318666
UKR,UKRAINE,Europe - Central and Eastern,1990,75,4740460.0,5,100945800.0,4.6960448082040065
UKR,UKRAINE,Europe - Central and Eastern,1990,300,100945800.0,5,100945800.0,100.0
UKR,UKRAINE,Europe - Central and Eastern,2000,30,824109.8,5,96647200.0,0.8526990952660813
UKR,UKRAINE,Europe - Central and Eastern,2000,75,4599349.0,5,96647200.0,4.758905586504317
UKR,UKRAINE,Europe - Central and Eastern,2000,300,96647200.0,5,96647200.0,100.0
UKR,UKRAINE,Europe - Central and Eastern,2010,30,764293.4,5,90074100.0,0.848516277154032
UKR,UKRAINE,Europe - Central and Eastern,2010,75,4272522.0,5,90074100.0,4.743341315650115
UKR,UKRAINE,Europe - Central and Eastern,2010,300,90074100.0,5,90074100.0,100.0
USA,UNITED STATES OF AMERICA,America - Northern,1990,30,19595136.66,85,1461997920.0,1.3402985320252712
USA,UNITED STATES OF AMERICA,America - Northern,1990,75,159219609.0,85,1461997920.0,10.89054962540576
USA,UNITED STATES OF AMERICA,America - Northern,1990,300,1461997920.0,85,1461997920.0,100.0
USA,UNITED STATES OF AMERICA,America - Northern,2000,30,21497499.7,85,1590573750.0,1.3515562984740568
USA,UNITED STATES OF AMERICA,America - Northern,2000,75,173550407.0,85,1590573750.0,10.911182647142265
USA,UNITED STATES OF AMERICA,America - Northern,2000,300,1590573750.0,85,1590573750.0,100.0
USA,UNITED STATES OF AMERICA,America - Northern,2010,30,23704595.9,85,1755758920.0,1.3501053948796113
USA,UNITED STATES OF AMERICA,America - Northern,2010,75,191606118.0,85,1755758920.0,10.91300837588796
USA,UNITED STATES OF AMERICA,America - Northern,2010,300,1755758920.0,85,1755758920.0,100.0
ZAF,SOUTH AFRICA,Africa,1990,30,425804.0,1,3900770.0,10.91589609230998
ZAF,SOUTH AFRICA,Africa,1990,75,3101590.0,1,3900770.0,79.5122501454841
ZAF,SOUTH AFRICA,Africa,1990,300,3900770.0,1,3900770.0,100.0
ZAF,SOUTH AFRICA,Africa,2000,30,432557.0,1,3872590.0,11.16970812815196
ZAF,SOUTH AFRICA,Africa,2000,75,3093880.0,1,3872590.0,79.8917520315861
ZAF,SOUTH AFRICA,Africa,2000,300,3872590.0,1,3872590.0,100.0
ZAF,SOUTH AFRICA,Africa,2010,30,488554.0,1,4362550.0,11.19881720553346
ZAF,SOUTH AFRICA,Africa,2010,75,3490540.0,1,4362550.0,80.01146118669126
ZAF,SOUTH AFRICA,Africa,2010,300,4362550.0,1,4362550.0,100.0
